Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualTotal
1884,-,-,-,-,-,-,-,-,-,-,-,-,-
1885,-,-,-,-,-,-,-,-,-,-,-,-,-
1886,-,-,-,-,-,-,-,-,-,-,-,-,-
1887,-,-,-,-,-,-,-,-,-,-,-,-,-
1888,-,-,-,-,-,-,-,2,-,-,-,-,2
1889,-,-,-,-,-,1,1,-,-,-,-,-,2
1890,-,-,-,-,-,-,-,-,-,-,-,-,-
1891,-,-,-,-,-,-,-,-,-,-,-,-,-
1892,-,-,-,-,-,-,-,-,-,-,-,-,-
1893,-,-,-,-,-,-,-,-,-,-,-,-,-
1894,-,-,-,-,-,-,-,-,-,-,-,-,-
1895,-,-,-,-,-,-,-,-,-,-,-,-,-
1896,-,-,-,-,-,-,2,-,-,-,-,-,2
1897,-,-,-,-,-,1,-,-,-,-,-,-,1
1898,-,-,-,-,-,-,-,-,-,-,-,-,-
1899,-,-,-,-,-,-,1,-,-,-,-,-,1
1900,-,-,-,-,-,-,-,-,-,-,-,-,-
1901,-,-,-,-,-,-,-,1,-,-,-,-,1
1902,-,-,-,-,-,2,-,-,-,-,-,-,2
1903,-,-,-,-,-,-,-,1,-,-,-,-,1
1904,-,-,-,-,-,-,-,-,-,-,-,-,-
1905,-,-,-,-,-,-,-,-,-,-,-,-,-
1906,-,-,-,-,-,-,-,-,-,-,-,-,-
1907,-,-,-,-,-,-,-,-,-,-,-,-,-
1908,-,-,-,-,-,-,-,-,-,-,-,-,-
1909,-,-,-,-,-,-,1,-,-,-,-,-,1
1910,-,-,-,-,-,-,-,-,-,-,-,-,-
1911,-,-,-,-,-,1,1,-,1,-,-,-,3
1912,-,-,-,-,-,2,-,-,-,-,-,-,2
1913,-,-,-,-,-,-,-,-,-,-,-,-,-
1914,-,-,-,-,-,-,-,1,-,-,-,-,1
1915,-,-,-,-,-,1,3,6,-,-,-,-,10
1916,-,-,-,-,-,-,-,-,-,-,-,-,-
1917,-,-,-,-,-,-,-,-,-,-,-,-,-
1918,-,-,-,-,-,-,-,-,-,-,-,-,-
1919,-,-,-,-,-,3,-,2,-,-,-,-,5
1920,-,-,-,-,-,1,2,1,-,-,-,-,4
1921,-,-,-,-,-,-,-,-,-,-,-,-,-
1922,-,-,-,-,-,3,-,1,-,-,-,-,4
1923,-,-,-,-,-,-,2,-,-,-,-,-,2
1924,-,-,-,-,-,-,-,-,3,-,-,-,3
1925,-,-,-,-,-,-,1,2,-,-,-,-,3
1926,-,-,-,-,-,-,-,2,-,-,-,-,2
1927,-,-,-,-,-,2,-,-,1,-,-,-,3
1928,-,-,-,-,-,-,4,1,1,-,-,-,6
1929,-,-,-,-,-,3,-,-,-,-,-,-,3
1930,-,-,-,-,-,-,-,1,-,-,-,-,1
1931,-,-,-,-,-,4,1,4,-,-,-,-,9
1932,-,-,-,-,1,2,-,-,-,-,-,-,3
1933,-,-,-,-,-,6,1,2,1,-,-,-,10
1934,-,-,-,-,-,-,4,-,2,-,-,-,6
1935,-,-,-,-,-,-,-,-,-,-,-,-,-
1936,-,-,-,-,-,-,4,-,-,-,-,-,4
1937,-,-,-,-,-,2,-,1,-,-,-,-,3
1938,-,-,-,-,-,2,-,-,-,-,-,-,2
1939,-,-,-,-,-,-,-,1,-,-,-,-,1
1947,-,-,-,-,-,1,-,-,-,-,-,-,1
1948,-,-,-,-,-,-,1,-,-,-,-,-,1
1949,-,-,-,-,-,6,-,-,-,-,-,-,6
1950,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,-,-,-,-,-,-,-,-,-,-,-,-,-
1952,-,-,-,-,-,1,2,-,-,-,-,-,3
1953,-,-,-,-,-,-,-,-,-,-,-,-,-
1954,-,-,-,-,-,2,-,-,-,-,-,-,2
1955,-,-,-,-,-,-,-,-,-,-,-,-,-
1956,-,-,-,-,-,1,-,1,1,-,-,-,3
1957,-,-,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,1,-,-,-,-,-,1
1959,-,-,-,-,-,2,-,-,-,-,-,-,2
1960,-,-,-,-,-,-,-,1,-,-,-,-,1
1961,-,-,-,-,-,1,2,-,-,-,-,-,3
1962,-,-,-,-,-,-,1,2,-,-,-,-,3
1963,-,-,-,-,-,-,1,-,1,-,-,-,2
1964,-,-,-,-,-,-,1,1,-,-,-,-,2
1965,-,-,-,-,-,-,1,-,-,-,-,-,1
1966,-,-,-,-,-,1,-,2,-,-,-,-,3
1967,-,-,-,-,2,2,8,2,-,-,-,-,14
1968,-,-,-,-,-,-,6,4,-,-,-,-,10
1969,-,-,-,-,2,3,2,1,2,-,-,-,10
1970,-,-,-,-,-,-,2,-,-,-,-,-,2
1971,-,-,-,-,-,-,2,-,-,-,-,-,2
1972,-,-,-,-,-,-,2,-,-,-,-,-,2
1973,-,-,-,-,1,5,-,-,-,-,-,-,6
1974,-,-,-,-,-,-,2,2,-,-,-,-,4
1975,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,2,-,1,2,-,-,-,-,5
1977,-,-,-,-,-,5,7,2,-,-,-,-,14
1978,-,-,-,-,-,1,6,1,-,-,-,-,8
1979,-,-,-,-,-,-,9,1,-,-,-,-,10
1980,-,-,-,-,-,5,4,2,-,-,-,-,11
1981,-,-,-,-,-,-,2,8,-,-,-,-,10
1982,-,-,-,-,-,4,4,1,-,-,-,-,9
1983,-,-,-,-,1,10,12,5,2,-,-,-,30
1984,-,-,-,-,-,1,8,1,-,-,-,-,10
1985,-,-,-,-,-,-,1,1,-,-,-,-,2
1986,-,-,-,-,-,2,3,5,2,-,-,-,12
1987,-,-,-,-,-,9,7,3,1,-,-,-,20
1988,-,-,-,-,2,6,5,-,3,-,-,-,16
1989,-,-,-,-,-,2,8,5,2,-,-,-,17
1990,-,-,-,-,-,4,7,12,1,-,-,-,24
1991,-,-,-,-,5,4,6,4,-,-,-,-,19
1992,-,-,-,-,-,4,2,5,4,-,-,-,15
1993,-,-,-,-,-,2,18,4,-,-,-,-,24
1994,-,-,-,-,-,3,1,-,-,-,-,-,4
1995,-,-,-,-,-,12,3,-,-,-,-,-,15
1996,-,-,-,-,-,4,8,5,-,-,-,-,17
1997,-,-,-,-,-,4,3,3,2,-,-,-,12
1998,-,-,-,-,-,10,14,12,-,-,-,-,36
1999,-,-,-,-,-,2,12,3,-,-,-,-,17
2000,-,-,-,-,-,6,6,10,-,-,-,-,22
2001,-,-,-,-,-,2,2,10,2,-,-,-,16
2002,-,-,-,-,-,8,7,2,-,-,-,-,17
2003,-,-,-,-,-,5,10,4,1,-,-,-,20
2004,-,-,-,-,-,7,7,5,-,-,-,-,19
2005,-,-,-,-,2,5,10,5,4,-,-,-,26
2006,-,-,-,-,-,3,9,1,2,-,-,-,15
2007,-,-,-,-,2,3,14,4,-,-,-,-,23
2008,-,-,-,-,-,-,7,1,7,-,-,-,15
2009,-,-,-,-,-,2,4,15,7,-,-,-,28
2010,-,-,-,-,1,5,10,5,3,-,-,-,24
2011,-,-,-,-,-,5,6,10,-,-,-,-,21
2012,-,-,-,-,1,6,5,11,-,-,-,-,23
2013,-,-,-,-,1,6,1,1,1,-,-,-,10
2014,-,-,-,-,3,8,13,6,4,-,-,-,34
2015,-,-,-,-,2,13,12,8,2,-,-,-,37
2016,-,-,-,-,2,15,13,4,2,-,-,-,36
2017,-,-,-,-,-,13,6,14,4,4,-,-,41
2018,-,-,-,-,6,6,7,5,2,-,-,-,26
2019,-,-,-,-,3,11,15,9,7,1,-,-,46
2020,-,-,-,-,1,18,21,6,4,-,,,
-,-,-,-,0.33,2.03,3.8,2.1,0.47,-,-,-,8.73,
-,-,-,-,0.37,3.5,5.43,3.23,0.57,-,-,-,13.1,
-,-,-,-,0.43,4.3,7,4.63,1.43,-,-,-,17.8,
-,-,-,-,0.3,2.2,2.92,2.02,0.6,0.04,-,-,8.09,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualTotal
